wall_time,unix_sec,source,event
2026-09-07T15:45:02.625+08:00,1788767102.625970,console/rosbag,HP: reque[WARN] [1788767102.652997234]: Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:03.701+08:00,1788767103.701825,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:04.701+08:00,1788767104.701853,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:05.751+08:00,1788767105.751863,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:06.751+08:00,1788767106.751924,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:07.801+08:00,1788767107.801847,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:08.851+08:00,1788767108.851869,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:09.901+08:00,1788767109.901856,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:10.952+08:00,1788767110.952118,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:11.953+08:00,1788767111.953252,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:13.001+08:00,1788767113.001838,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:14.051+08:00,1788767114.051869,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:15.101+08:00,1788767115.101834,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:16.101+08:00,1788767116.101987,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:17.151+08:00,1788767117.151859,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:18.201+08:00,1788767118.201849,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:19.252+08:00,1788767119.252002,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:20.301+08:00,1788767120.301853,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:21.351+08:00,1788767121.351868,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:22.401+08:00,1788767122.401851,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:23.451+08:00,1788767123.451870,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
